database	omics_type	url	local_path	note
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL07.gene.gff.gz	soybean_SoyOmics/gene/SoyL07.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL07.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL07.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL07.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL07.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL07.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL07.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL07.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL07.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL07.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL07.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL05.v1.fasta.gz	soybean_SoyOmics/genome/SoyL05.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL05.gene.gff.gz	soybean_SoyOmics/gene/SoyL05.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL05.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL05.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL05.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL05.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL05.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL05.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL05.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL05.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL05.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL05.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL09.v1.fasta.gz	soybean_SoyOmics/genome/SoyL09.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL09.gene.gff.gz	soybean_SoyOmics/gene/SoyL09.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL09.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL09.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL09.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL09.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL09.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL09.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL09.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL09.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL09.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL09.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL08.v1.fasta.gz	soybean_SoyOmics/genome/SoyL08.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL08.gene.gff.gz	soybean_SoyOmics/gene/SoyL08.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL08.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL08.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL08.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL08.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL08.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL08.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL08.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL08.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL08.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL08.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL03.v1.fasta.gz	soybean_SoyOmics/genome/SoyL03.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL03.gene.gff.gz	soybean_SoyOmics/gene/SoyL03.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL03.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL03.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL03.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL03.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL03.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL03.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL03.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL03.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL03.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL03.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL06.v1.fasta.gz	soybean_SoyOmics/genome/SoyL06.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL06.gene.gff.gz	soybean_SoyOmics/gene/SoyL06.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL06.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL06.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL06.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL06.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL06.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL06.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL06.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL06.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL06.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL06.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL01.v1.fasta.gz	soybean_SoyOmics/genome/SoyL01.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL01.gene.gff.gz	soybean_SoyOmics/gene/SoyL01.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL01.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL01.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL01.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL01.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL01.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL01.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL01.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL01.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL01.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL01.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyL02.v1.fasta.gz	soybean_SoyOmics/genome/SoyL02.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyL02.gene.gff.gz	soybean_SoyOmics/gene/SoyL02.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyL02.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyL02.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
